               AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
<$0K             0        0       0       0               0       0       0        0
=$0K             0        0       0       0               0       0       0        0
$0-10K           0        0       0       0               0       0       0        0
$10-20K          0        0       0       0               0       0       0        0
$20-30K          0        0       0       0               0       0       0        0
$30-40K      60000        0   31227   28773            3029    -899    9180    56309
$40-50K          0        0       0       0               0       0       0        0
$50-75K     180000        0   56209  123791           14699    8699   27540   157531
$75-100K         0        0       0       0               0       0       0        0
$100-200K   240000        0   43718  196282           29361   23361   36720   198279
$200-500K   600000        0   37473  562527          136039  132039   66070   434206
$500-1000K       0        0       0       0               0       0       0        0
>$1000K          0        0       0       0               0       0       0        0
ALL        1080000        0  168627  911373          183129  163201  139510   846324
