         AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
0          0        0       0       0               0       0       0        0
1          0        0       0       0               0       0       0        0
2          0        0       0       0               0       0       0        0
3          0        0       0       0               0       0       0        0
4          0        0       0       0               0       0       0        0
5      60000    16043   32087   11870            1187   -3245    9180    58655
6          0        0       0       0               0       0       0        0
7     180000    37434   64173   78393            7839    3676   27540   162554
8          0        0       0       0               0       0       0        0
9     240000    32087   48130  159784           21946   20446   36720   201194
10    600000    23303   48130  528567          108077  108077   66067   458170
sums 1080000   108867  192519  778613          139049  128954  139507   880572
