               AGI  pexempt  stdded  taxinc  tax-wo-credits  inctax  paytax  ataxinc
<$0K             0        0       0       0               0       0       0        0
=$0K             0        0       0       0               0       0       0        0
$0-10K           0        0       0       0               0       0       0        0
$10-20K          0        0       0       0               0       0       0        0
$20-30K          0        0       0       0               0       0       0        0
$30-40K      60000        0   31227   28773            3029    -549    9180    55959
$40-50K          0        0       0       0               0       0       0        0
$50-75K     180000        0   56209  123791           14736    9786   27540   156444
$75-100K         0        0       0       0               0       0       0        0
$100-200K   240000        0   43718  196282           30333   25383   36720   196257
$200-500K   600000        0   37473  562527          138938  135638   66070   430606
$500-1000K       0        0       0       0               0       0       0        0
>$1000K          0        0       0       0               0       0       0        0
ALL        1080000        0  168627  911373          187036  170258  139510   839267
